step,epoch,train/loss,valid/loss
113,113,0.19997116923332214,
113,113,,0.19849704205989838
114,114,0.19876818358898163,
114,114,,0.1970929354429245
115,115,0.19741882383823395,
115,115,,0.19549092650413513
116,116,0.19590365886688232,
116,116,,0.19362978637218475
117,117,0.19417129456996918,
117,117,,0.19147677719593048
118,118,0.1921919584274292,
118,118,,0.18897566199302673
119,119,0.1899290233850479,
119,119,,0.18617936968803406
120,120,0.1874770075082779,
120,120,,0.18353146314620972
121,121,0.1854451298713684,
121,121,,0.19343987107276917
122,122,0.19537271559238434,
122,122,,0.229783833026886
123,123,0.2325509935617447,
123,123,,0.22547951340675354
124,124,0.22731655836105347,
124,124,,0.21440334618091583
125,125,0.2148715853691101,
125,125,,0.20768946409225464
126,126,0.20697876811027527,
126,126,,0.20170225203037262
127,127,0.20021910965442657,
127,127,,0.1946973204612732
128,128,0.19293531775474548,
128,128,,0.1930720955133438
129,129,0.19156432151794434,
129,129,,0.20989133417606354
130,130,0.20871850848197937,
130,130,,0.19538962841033936
131,131,0.1937774419784546,
131,131,,0.19430895149707794
132,132,0.19230784475803375,
132,132,,0.1967509388923645
133,133,0.19475388526916504,
133,133,,0.19609957933425903
134,134,0.1944790482521057,
134,134,,0.1922551542520523
135,135,0.19133587181568146,
135,135,,0.18831416964530945
136,136,0.18833382427692413,
136,136,,0.1892990916967392
137,137,0.19030210375785828,
137,137,,0.19254310429096222
138,138,0.19399799406528473,
138,138,,0.1891995370388031
139,139,0.1903308779001236,
139,139,,0.1883641630411148
140,140,0.18885692954063416,
140,140,,0.19005507230758667
141,141,0.19001564383506775,
141,141,,0.19084401428699493
142,142,0.19053271412849426,
142,142,,0.18947255611419678
143,143,0.18914833664894104,
143,143,,0.18675877153873444
144,144,0.1866641342639923,
144,144,,0.18511082231998444
145,145,0.18536481261253357,
145,145,,0.18600669503211975
146,146,0.18648692965507507,
146,146,,0.1856841892004013
147,147,0.18599681556224823,
147,147,,0.1841554492712021
148,148,0.18394535779953003,
148,148,,0.18473929166793823
149,149,0.18398620188236237,
149,149,,0.18561658263206482
150,150,0.18456535041332245,
150,150,,0.18481479585170746
151,151,0.18377551436424255,
151,151,,0.18285779654979706
152,152,0.1821112036705017,
152,152,,0.1820680946111679
153,153,0.18172182142734528,
153,153,,0.18204325437545776
154,154,0.18189232051372528,
154,154,,0.18043921887874603
155,155,0.18017542362213135,
155,155,,0.18004924058914185
156,156,0.17951089143753052,
156,156,,0.18019092082977295
157,157,0.17956073582172394,
157,157,,0.1791345477104187
158,158,0.17867176234722137,
158,158,,0.17770391702651978
159,159,0.17758890986442566,
159,159,,0.17734302580356598
160,160,0.17752914130687714,
160,160,,0.1764954924583435
161,161,0.17669790983200073,
161,161,,0.17553246021270752
162,162,0.1755090057849884,
162,162,,0.17527279257774353
163,163,0.17506043612957,
163,163,,0.1743708848953247
164,164,0.17413295805454254,
164,164,,0.17287899553775787
165,165,0.17280060052871704,
165,165,,0.17195327579975128
166,166,0.17203021049499512,
166,166,,0.17102698981761932
167,167,0.17102764546871185,
167,167,,0.1698721945285797
168,168,0.16958801448345184,
168,168,,0.16907592117786407
169,169,0.16853226721286774,
169,169,,0.1678456813097
170,170,0.16721804440021515,
170,170,,0.16614432632923126
171,171,0.1655728965997696,
171,171,,0.16462033987045288
172,172,0.16416974365711212,
172,172,,0.1634407937526703
173,173,0.1631520539522171,
173,173,,0.1631944477558136
174,174,0.16270773112773895,
174,174,,0.16415418684482574
175,175,0.16287793219089508,
175,175,,0.16418792307376862
176,176,0.16288889944553375,
176,176,,0.16361398994922638
177,177,0.16248877346515656,
177,177,,0.1625295877456665
178,178,0.16136398911476135,
178,178,,0.16115209460258484
179,179,0.16041164100170135,
179,179,,0.16049307584762573
180,180,0.16021034121513367,
180,180,,0.16024978458881378
181,181,0.16001397371292114,
181,181,,0.1603720635175705
182,182,0.15999296307563782,
182,182,,0.16059251129627228
183,183,0.1601540446281433,
183,183,,0.16034546494483948
184,184,0.15997916460037231,
184,184,,0.15995728969573975
185,185,0.1597646176815033,
185,185,,0.15981781482696533
186,186,0.15970876812934875,
186,186,,0.15966054797172546
187,187,0.15942706167697906,
187,187,,0.15949028730392456
188,188,0.15908078849315643,
188,188,,0.15949200093746185
189,189,0.1588674783706665,
189,189,,0.15942128002643585
190,190,0.158726304769516,
190,190,,0.1592833697795868
191,191,0.15860840678215027,
191,191,,0.15911877155303955
192,192,0.15856130421161652,
192,192,,0.15904304385185242
193,193,0.15849578380584717,
193,193,,0.15900811553001404
194,194,0.15842203795909882,
194,194,,0.15891893208026886
195,195,0.15830263495445251,
195,195,,0.15873180329799652
196,196,0.15817119181156158,
196,196,,0.15851333737373352
197,197,0.15803271532058716,
197,197,,0.15838445723056793
198,198,0.15798497200012207,
198,198,,0.15827275812625885
199,199,0.15795890986919403,
199,199,,0.15814407169818878
200,200,0.15785996615886688,
200,200,,0.15815497934818268
201,201,0.15784379839897156,
201,201,,0.158185213804245
202,202,0.1578139066696167,
202,202,,0.1581128090620041
203,203,0.15771783888339996,
203,203,,0.15798088908195496
204,204,0.15763448178768158,
204,204,,0.15791507065296173
205,205,0.15756550431251526,
205,205,,0.15789569914340973
206,206,0.15747815370559692,
206,206,,0.1578824520111084
207,207,0.1573798954486847,
207,207,,0.15789346396923065
208,208,0.15730887651443481,
208,208,,0.15777277946472168
209,209,0.15725265443325043,
209,209,,0.15769663453102112
210,210,0.15719060599803925,
210,210,,0.15767011046409607
211,211,0.15712620317935944,
211,211,,0.1576872169971466
212,212,0.15706181526184082,
212,212,,0.15767502784729004
213,213,0.15699386596679688,
213,213,,0.15761564671993256
214,214,0.15693172812461853,
214,214,,0.1575484573841095
215,215,0.1568581461906433,
215,215,,0.15743054449558258
216,216,0.1567944586277008,
216,216,,0.15736787021160126
217,217,0.15673710405826569,
217,217,,0.15735949575901031
218,218,0.15665960311889648,
218,218,,0.15737850964069366
219,219,0.15661194920539856,
219,219,,0.1573406308889389
220,220,0.15655428171157837,
220,220,,0.15730834007263184
221,221,0.1565031260251999,
221,221,,0.15722022950649261
222,222,0.15643666684627533,
222,222,,0.1571674942970276
223,223,0.156377375125885,
223,223,,0.15714867413043976
224,224,0.15630486607551575,
224,224,,0.15712393820285797
225,225,0.15624505281448364,
225,225,,0.15707723796367645
226,226,0.15617915987968445,
226,226,,0.15700027346611023
227,227,0.1561262458562851,
227,227,,0.1569160372018814
228,228,0.1560579389333725,
228,228,,0.15683460235595703
229,229,0.15599969029426575,
229,229,,0.15680725872516632
230,230,0.15592344105243683,
230,230,,0.1567484438419342
231,231,0.15587255358695984,
231,231,,0.1566833108663559
232,232,0.155802920460701,
232,232,,0.1566019207239151
233,233,0.15572677552700043,
233,233,,0.15650293231010437
234,234,0.15565672516822815,
234,234,,0.15646708011627197
235,235,0.15558494627475739,
235,235,,0.15640762448310852
236,236,0.1555156707763672,
236,236,,0.15635058283805847
237,237,0.1554476022720337,
237,237,,0.15632067620754242
238,238,0.1553908884525299,
238,238,,0.15623383224010468
239,239,0.15531478822231293,
239,239,,0.1561567187309265
240,240,0.15523633360862732,
240,240,,0.156063973903656
241,241,0.15515515208244324,
241,241,,0.15605302155017853
242,242,0.1550881713628769,
242,242,,0.15595827996730804
243,243,0.15500213205814362,
243,243,,0.15590202808380127
244,244,0.1549261510372162,
244,244,,0.155830517411232
245,245,0.1548544466495514,
245,245,,0.15576177835464478
246,246,0.154767706990242,
246,246,,0.15567833185195923
247,247,0.15468940138816833,
247,247,,0.15562482178211212
248,248,0.15461711585521698,
248,248,,0.15554414689540863
249,249,0.15451659262180328,
249,249,,0.15546728670597076
250,250,0.15444664657115936,
250,250,,0.15537048876285553
251,251,0.1543472856283188,
251,251,,0.15532627701759338
252,252,0.1542564332485199,
252,252,,0.15522509813308716
253,253,0.15418097376823425,
253,253,,0.15514950454235077
254,254,0.15406055748462677,
254,254,,0.15507078170776367
255,255,0.1539837270975113,
255,255,,0.15498247742652893
256,256,0.15388157963752747,
256,256,,0.1548609882593155
257,257,0.1537858098745346,
257,257,,0.15480515360832214
258,258,0.15368804335594177,
258,258,,0.15469007194042206
259,259,0.1535690426826477,
259,259,,0.15461939573287964
260,260,0.15346956253051758,
260,260,,0.15451262891292572
261,261,0.15335771441459656,
261,261,,0.15439185500144958
262,262,0.15324503183364868,
262,262,,0.1543288379907608
263,263,0.15312625467777252,
263,263,,0.15419338643550873
264,264,0.15301750600337982,
264,264,,0.15412627160549164
265,265,0.15290342271327972,
265,265,,0.1540120244026184
266,266,0.15276789665222168,
266,266,,0.1538946032524109
267,267,0.15264903008937836,
267,267,,0.15378548204898834
268,268,0.15251955389976501,
268,268,,0.15364007651805878
269,269,0.1523798108100891,
269,269,,0.153543621301651
270,270,0.15223267674446106,
270,270,,0.1534440666437149
271,271,0.15209455788135529,
271,271,,0.1532878428697586
272,272,0.1519506722688675,
272,272,,0.1531543731689453
273,273,0.15181055665016174,
273,273,,0.1530393809080124
274,274,0.15166842937469482,
274,274,,0.152876615524292
275,275,0.15149901807308197,
275,275,,0.15275028347969055
276,276,0.15134461224079132,
276,276,,0.15256348252296448
277,277,0.15117758512496948,
277,277,,0.15242168307304382
278,278,0.1509908139705658,
278,278,,0.15226221084594727
279,279,0.1508185863494873,
279,279,,0.15208233892917633
280,280,0.1506354659795761,
280,280,,0.1519266664981842
281,281,0.1504489779472351,
281,281,,0.15177446603775024
282,282,0.1502467691898346,
282,282,,0.1515975445508957
283,283,0.15005271136760712,
283,283,,0.15139178931713104
284,284,0.14984135329723358,
284,284,,0.15122050046920776
285,285,0.1496373564004898,
285,285,,0.1509990394115448
286,286,0.14940622448921204,
286,286,,0.15080033242702484
287,287,0.1491854190826416,
287,287,,0.15059979259967804
288,288,0.14894625544548035,
288,288,,0.15039211511611938
289,289,0.1486944854259491,
289,289,,0.15019863843917847
290,290,0.14845187962055206,
290,290,,0.14997734129428864
291,291,0.1482039839029312,
291,291,,0.14973582327365875
292,292,0.1479223668575287,
292,292,,0.14946819841861725
293,293,0.1476643681526184,
293,293,,0.14921443164348602
294,294,0.1473749876022339,
294,294,,0.14896772801876068
295,295,0.14708590507507324,
295,295,,0.14869508147239685
296,296,0.14680695533752441,
296,296,,0.1484680026769638
297,297,0.14649060368537903,
297,297,,0.14817367494106293
298,298,0.14618809521198273,
298,298,,0.14790624380111694
299,299,0.14586542546749115,
299,299,,0.14762060344219208
300,300,0.1455521285533905,
300,300,,0.1473371833562851
301,301,0.14521634578704834,
301,301,,0.14706206321716309
302,302,0.14489175379276276,
302,302,,0.14675775170326233
303,303,0.14457745850086212,
303,303,,0.1464833915233612
304,304,0.14422789216041565,
304,304,,0.14619863033294678
305,305,0.14390172064304352,
305,305,,0.14594444632530212
306,306,0.14356981217861176,
306,306,,0.14563632011413574
307,307,0.14322727918624878,
307,307,,0.1453690081834793
308,308,0.14291533827781677,
308,308,,0.14512309432029724
309,309,0.14257267117500305,
309,309,,0.14486387372016907
310,310,0.14226177334785461,
310,310,,0.1446187049150467
311,311,0.14196069538593292,
311,311,,0.1443728655576706
312,312,0.14167311787605286,
312,312,,0.1441320776939392
313,313,0.14136561751365662,
313,313,,0.14387884736061096
314,314,0.14109297096729279,
314,314,,0.14364080131053925
315,315,0.14079172909259796,
315,315,,0.14344577491283417
316,316,0.14051371812820435,
316,316,,0.14324752986431122
317,317,0.14024735987186432,
317,317,,0.14299091696739197
318,318,0.13995756208896637,
318,318,,0.14275231957435608
319,319,0.1396857500076294,
319,319,,0.1425628662109375
320,320,0.13941942155361176,
320,320,,0.14231039583683014
321,321,0.1391378939151764,
321,321,,0.1420811414718628
322,322,0.1388503760099411,
322,322,,0.1418352574110031
323,323,0.13855931162834167,
323,323,,0.14159971475601196
324,324,0.138262078166008,
324,324,,0.14132018387317657
325,325,0.1379612535238266,
325,325,,0.14103984832763672
326,326,0.13765105605125427,
326,326,,0.14081375300884247
327,327,0.13733616471290588,
327,327,,0.1404845267534256
328,328,0.1370156705379486,
328,328,,0.14022360742092133
329,329,0.13669638335704803,
329,329,,0.13994497060775757
330,330,0.13639964163303375,
330,330,,0.13968037068843842
331,331,0.13605897128582,
331,331,,0.13939853012561798
332,332,0.13575142621994019,
332,332,,0.1390911489725113
333,333,0.1354042887687683,
333,333,,0.138816699385643
334,334,0.13506628572940826,
334,334,,0.13848432898521423
335,335,0.13470248878002167,
335,335,,0.138172909617424
336,336,0.13433119654655457,
336,336,,0.137846902012825
337,337,0.13397732377052307,
337,337,,0.13753361999988556
338,338,0.13358676433563232,
338,338,,0.1372063308954239
339,339,0.1332293152809143,
339,339,,0.13682757318019867
340,340,0.13283374905586243,
340,340,,0.13644097745418549
341,341,0.13241806626319885,
341,341,,0.13605740666389465
342,342,0.13198547065258026,
342,342,,0.13567019999027252
343,343,0.1315649151802063,
343,343,,0.13527542352676392
344,344,0.1311175525188446,
344,344,,0.13484330475330353
345,345,0.13067564368247986,
345,345,,0.13437439501285553
346,346,0.13021250069141388,
346,346,,0.13395792245864868
347,347,0.12969903647899628,
347,347,,0.13344116508960724
348,348,0.12921388447284698,
348,348,,0.13291500508785248
349,349,0.12868085503578186,
349,349,,0.13248348236083984
350,350,0.12819364666938782,
350,350,,0.1319061815738678
351,351,0.12761929631233215,
351,351,,0.13133472204208374
352,352,0.1270453929901123,
352,352,,0.13076630234718323
353,353,0.1264677494764328,
353,353,,0.1301892250776291
354,354,0.1258707195520401,
354,354,,0.12956970930099487
355,355,0.1252056211233139,
355,355,,0.12889516353607178
356,356,0.12455320358276367,
356,356,,0.12822206318378448
357,357,0.1238776296377182,
357,357,,0.1275268793106079
358,358,0.12316743284463882,
358,358,,0.12684699892997742
359,359,0.12244787812232971,
359,359,,0.12613989412784576
360,360,0.12164635211229324,
360,360,,0.12535728514194489
361,361,0.12082003802061081,
361,361,,0.12455817312002182
362,362,0.12003740668296814,
362,362,,0.12374511361122131
363,363,0.11920341104269028,
363,363,,0.12266502529382706
364,364,0.11837011575698853,
364,364,,0.12185417860746384
365,365,0.11746828258037567,
365,365,,0.12080614268779755
366,366,0.11655114591121674,
366,366,,0.11971011757850647
367,367,0.11566644161939621,
367,367,,0.11873146146535873
368,368,0.11464226245880127,
368,368,,0.11779789626598358
369,369,0.1137797012925148,
369,369,,0.11646328121423721
370,370,0.1126786321401596,
370,370,,0.11549697816371918
371,371,0.11179792881011963,
371,371,,0.11455528438091278
372,372,0.11074812710285187,
372,372,,0.11325106769800186
373,373,0.10957507789134979,
373,373,,0.11219218373298645
374,374,0.10858207195997238,
374,374,,0.11110742390155792
375,375,0.1075722947716713,
375,375,,0.10955583304166794
376,376,0.1062660813331604,
376,376,,0.10931286215782166
377,377,0.10694798082113266,
377,377,,0.10757791250944138
378,378,0.1043531745672226,
378,378,,0.10757964849472046
379,379,0.10420107841491699,
379,379,,0.10469592362642288
380,380,0.10204601287841797,
380,380,,0.10384267568588257
381,381,0.10164136439561844,
381,381,,0.10289207100868225
382,382,0.10022059828042984,
382,382,,0.10587635636329651
383,383,0.10284847766160965,
383,383,,0.10161712020635605
384,384,0.09863729029893875,
384,384,,0.10263170301914215
385,385,0.09965350478887558,
385,385,,0.10273419320583344
386,386,0.09956631809473038,
386,386,,0.09795338660478592
387,387,0.09503006935119629,
387,387,,0.09985294193029404
388,388,0.09644769877195358,
388,388,,0.09765629470348358
389,389,0.09414148330688477,
389,389,,0.0946919173002243
390,390,0.09177815169095993,
390,390,,0.09593184292316437
391,391,0.09302305430173874,
391,391,,0.10560216754674911
392,392,0.10213331878185272,
392,392,,0.10302199423313141
393,393,0.10129471868276596,
393,393,,0.09808532893657684
394,394,0.09563630074262619,
394,394,,0.1021905168890953
395,395,0.09962088614702225,
395,395,,0.10564857721328735
396,396,0.10307937115430832,
396,396,,0.09821997582912445
397,397,0.09535186737775803,
397,397,,0.09149020910263062
398,398,0.08897910267114639,
398,398,,0.09367164969444275
399,399,0.09112823009490967,
399,399,,0.09124020487070084
400,400,0.08853355050086975,
400,400,,0.09032663702964783
401,401,0.08764145523309708,
401,401,,0.0908406674861908
402,402,0.08794047683477402,
402,402,,0.08719723671674728
403,403,0.0854392871260643,
403,403,,0.08872932195663452
404,404,0.08575338870286942,
404,404,,0.08786886930465698
405,405,0.08541340380907059,
405,405,,0.0887070968747139
406,406,0.08617296069860458,
406,406,,0.08881863951683044
407,407,0.08536618202924728,
407,407,,0.08420338481664658
408,408,0.0812530443072319,
408,408,,0.08261343836784363
409,409,0.08041024953126907,
409,409,,0.08460813760757446
410,410,0.08190404623746872,
410,410,,0.08475004881620407
411,411,0.08161506801843643,
411,411,,0.08298152685165405
412,412,0.07986865937709808,
412,412,,0.08116082847118378
413,413,0.0787278339266777,
413,413,,0.07929863035678864
414,414,0.07623308897018433,
414,414,,0.07848713546991348
415,415,0.07538311183452606,
415,415,,0.081141397356987
416,416,0.07740321755409241,
416,416,,0.08153015375137329
417,417,0.07771384716033936,
417,417,,0.07860774546861649
418,418,0.07431648671627045,
418,418,,0.07599828392267227
419,419,0.0720248818397522,
419,419,,0.07423765957355499
420,420,0.07124273478984833,
420,420,,0.07423119992017746
421,421,0.07136228680610657,
421,421,,0.07352293282747269
422,422,0.07067496329545975,
422,422,,0.07363549619913101
423,423,0.07005251199007034,
423,423,,0.07149349898099899
424,424,0.06826239824295044,
424,424,,0.0699022114276886
425,425,0.06682610511779785,
425,425,,0.07051902264356613
426,426,0.06839711219072342,
426,426,,0.07221755385398865
427,427,0.06950213760137558,
427,427,,0.07124797999858856
428,428,0.06885102391242981,
428,428,,0.06972213089466095
429,429,0.06732868403196335,
429,429,,0.06711385399103165
430,430,0.06485036015510559,
430,430,,0.06500309705734253
431,431,0.06330239772796631,
431,431,,0.06473848968744278
432,432,0.06281103193759918,
432,432,,0.06621397286653519
433,433,0.0634736567735672,
433,433,,0.06600064784288406
434,434,0.06390239298343658,
434,434,,0.06493818759918213
435,435,0.0626630112528801,
435,435,,0.06344179809093475
436,436,0.06042105332016945,
436,436,,0.06277988106012344
437,437,0.05932190269231796,
437,437,,0.06206178292632103
438,438,0.05865496024489403,
438,438,,0.061684198677539825
439,439,0.05819735676050186,
439,439,,0.06120183318853378
440,440,0.05749168619513512,
440,440,,0.06067651882767677
441,441,0.056703243404626846,
441,441,,0.06043640524148941
442,442,0.05589490383863449,
442,442,,0.059439484030008316
443,443,0.05502031370997429,
443,443,,0.05887525901198387
444,444,0.0542597696185112,
444,444,,0.058139506727457047
445,445,0.05363495275378227,
445,445,,0.057439226657152176
446,446,0.05328265577554703,
446,446,,0.05688486993312836
447,447,0.05294518172740936,
447,447,,0.056261926889419556
448,448,0.05239662900567055,
448,448,,0.05551140010356903
449,449,0.05170619860291481,
449,449,,0.05460287630558014
450,450,0.050739388912916183,
450,450,,0.054147616028785706
451,451,0.04999568685889244,
451,451,,0.05378664657473564
452,452,0.04915720224380493,
452,452,,0.05400759354233742
453,453,0.048520416021347046,
453,453,,0.052842654287815094
454,454,0.04811129719018936,
454,454,,0.052875325083732605
455,455,0.04783540591597557,
455,455,,0.06516865640878677
456,456,0.061713360249996185,
456,456,,0.07971322536468506
457,457,0.07609999924898148,
457,457,,0.0822511836886406
458,458,0.07842668890953064,
458,458,,0.07580289244651794
459,459,0.07226021587848663,
459,459,,0.06726475059986115
460,460,0.06343016773462296,
460,460,,0.062179066240787506
461,461,0.05852538347244263,
461,461,,0.05954159423708916
462,462,0.05651147663593292,
462,462,,0.05748149752616882
463,463,0.0547461062669754,
463,463,,0.05661918967962265
464,464,0.05433303862810135,
464,464,,0.05513603612780571
465,465,0.052481602877378464,
465,465,,0.05308438837528229
466,466,0.04946521297097206,
466,466,,0.050388630479574203
467,467,0.04624176397919655,
467,467,,0.048649732023477554
468,468,0.04506102576851845,
468,468,,0.049286771565675735
469,469,0.04580405727028847,
469,469,,0.049185849726200104
470,470,0.045950762927532196,
470,470,,0.04869901016354561
471,471,0.04597516730427742,
471,471,,0.04927600920200348
472,472,0.0462585985660553,
472,472,,0.04924117028713226
473,473,0.04598314315080643,
473,473,,0.04926632344722748
474,474,0.045102305710315704,
474,474,,0.04872531816363335
475,475,0.04408153519034386,
475,475,,0.04756644368171692
476,476,0.042746011167764664,
476,476,,0.04614252969622612
477,477,0.041456758975982666,
477,477,,0.04494089260697365
478,478,0.041120924055576324,
478,478,,0.04429815709590912
479,479,0.040726326406002045,
479,479,,0.044082723557949066
480,480,0.039804499596357346,
480,480,,0.04363943263888359
481,481,0.03966867923736572,
481,481,,0.0434761568903923
482,482,0.03961561247706413,
482,482,,0.042802438139915466
483,483,0.03895358368754387,
483,483,,0.0422690212726593
484,484,0.03814966604113579,
484,484,,0.04160831496119499
485,485,0.03828538581728935,
485,485,,0.041001640260219574
486,486,0.03835945948958397,
486,486,,0.04138360172510147
487,487,0.03816913440823555,
487,487,,0.04224397614598274
488,488,0.038225483149290085,
488,488,,0.04116258770227432
489,489,0.037917137145996094,
489,489,,0.04209943115711212
490,490,0.038055721670389175,
490,490,,0.04184703528881073
491,491,0.03762521967291832,
491,491,,0.0409516841173172
492,492,0.03671519458293915,
492,492,,0.04060894623398781
493,493,0.03605889901518822,
493,493,,0.03946289047598839
494,494,0.035551518201828,
494,494,,0.03946716710925102
495,495,0.03512873128056526,
495,495,,0.038709856569767
496,496,0.0346134714782238,
496,496,,0.03735528141260147
497,497,0.03448527306318283,
497,497,,0.0373549722135067
498,498,0.0341176763176918,
498,498,,0.03771315887570381
499,499,0.03372436761856079,
